Date,Opponent,Result,Goals,Assists,Points,+/-,Penalty Minutes,Shots,Shot %,PP Goals,PP Assists,SH Goals,SH Assists,GW Goals,Time on Ice,Production Time
Sat 1/27,vsNJ,W6-3,1,1,2,3,0,5,20.0,0,0,0,0,0,20:02,10:01
Tue 1/23,@PHI,W6-3,0,1,1,-1,0,2,0.0,0,1,0,0,0,18:26,18:26
Sat 1/20,@BUF,W3-1,0,0,0,-1,0,1,0.0,0,0,0,0,0,18:33,0:00
Sat 1/13,vsANA,W5-1,2,1,3,0,0,6,33.3,2,1,0,0,1,19:11,6:23
Tue 1/9,vsLA,W3-2 OT,0,0,0,1,0,4,0.0,0,0,0,0,0,21:24,0:00
Thu 1/4,@MIN,W4-1,0,0,0,0,0,1,0.0,0,0,0,0,0,17:56,0:00
Sun 12/31,vsMTL,W4-3,0,1,1,0,0,1,0.0,0,0,0,0,0,21:19,21:19
Wed 12/27,vsFLA,L3-2,0,0,0,-3,4,4,0.0,0,0,0,0,0,18:00,0:00
Thu 12/21,vsVGK,W5-4,0,1,1,0,0,3,0.0,0,1,0,0,0,20:54,20:54
Sat 12/16,@CGY,L4-2,1,0,1,-2,0,4,25.0,1,0,0,0,0,20:49,20:49
Tue 12/12,@VAN,L4-1,0,0,0,0,0,5,0.0,0,0,0,0,0,18:00,0:00
Wed 12/6,vsPIT,W3-1,0,1,1,0,2,2,0.0,0,1,0,0,0,19:24,19:24
Sat 12/2,@DAL,L8-1,0,0,0,-1,0,4,0.0,0,0,0,0,0,21:21,0:00
Thu 11/30,vsPIT,L4-2,1,0,1,-2,0,5,20.0,0,0,0,0,0,20:22,20:22
Mon 11/27,@COL,L4-1,0,0,0,-1,0,1,0.0,0,0,0,0,0,15:57,0:00
Wed 11/22,vsWPG,L3-2 OT,1,0,1,-1,2,4,25.0,1,0,0,0,0,17:21,17:21
Sat 11/18,vsEDM,W6-4,1,1,2,-1,0,4,25.0,1,1,0,0,0,13:49,6:54
Tue 11/14,@STL,L5-0,0,0,0,-5,0,4,0.0,0,0,0,0,0,17:15,0:00
Thu 11/9,vsCHI,L5-3,1,0,1,0,0,7,14.3,0,0,0,0,0,18:35,18:35
Mon 11/6,@TOR,L6-5 OT,0,1,1,0,0,2,0.0,0,1,0,0,0,17:21,17:21
Thu 11/2,@CBJ,L4-2,1,1,2,1,0,6,16.7,0,0,0,0,0,20:22,10:11
Mon 10/30,vsSEA,L4-3 OT,0,0,0,-1,0,2,0.0,0,0,0,0,0,17:58,0:00
Tue 10/24,vsCAR,W3-0,0,0,0,1,0,0,0.0,0,0,0,0,0,16:13,0:00
Thu 10/19,vsVAN,W4-3,0,1,1,-2,0,7,0.0,0,1,0,0,0,18:55,18:55
Tue 10/10,vsNSH,W5-3,0,1,1,0,2,2,0.0,0,1,0,0,0,20:23,20:23
Thu 1/25,vsARI,W6-3,1,1,2,1,0,6,16.7,1,0,0,0,1,20:49,10:24
Sun 1/21,@DET,L2-1,0,0,0,-1,0,4,0.0,0,0,0,0,0,20:09,0:00
Thu 1/11,vsNJ,W4-3 OT,0,0,0,-2,0,2,0.0,0,0,0,0,0,21:30,0:00
Sat 1/6,@BOS,L7-3,0,0,0,-3,0,3,0.0,0,0,0,0,0,19:13,0:00
Tue 1/2,@WPG,L4-2,1,0,1,-1,0,2,50.0,1,0,0,0,0,16:54,16:54
Sat 12/30,vsNYR,L5-1,0,1,1,0,2,2,0.0,0,1,0,0,0,18:04,18:04
Sat 12/23,@WSH,W2-1 SO,0,0,0,0,2,1,0.0,0,0,0,0,0,21:23,0:00
Tue 12/19,vsSTL,W6-1,0,3,3,2,0,3,0.0,0,1,0,0,0,15:48,5:16
Thu 12/14,@EDM,W7-4,4,0,4,3,0,7,57.1,1,0,0,0,1,14:59,3:44
Thu 12/7,@NSH,L5-1,0,0,0,-1,2,1,0.0,0,0,0,0,0,18:26,0:00
Mon 12/4,vsDAL,W4-0,0,1,1,1,2,1,0.0,0,0,0,0,0,18:24,18:24
Tue 11/28,@ARI,L3-1,0,0,0,-1,2,2,0.0,0,0,0,0,0,20:17,0:00
Fri 11/24,@CAR,W8-2,1,1,2,0,0,3,33.3,1,1,0,0,0,18:05,9:02
Mon 11/20,vsBOS,W5-4 OT,1,1,2,-1,0,5,20.0,0,1,0,0,0,20:00,10:00
Sat 11/11,vsCAR,L4-0,0,0,0,0,0,0,0.0,0,0,0,0,0,19:07,0:00
Tue 11/7,@MTL,W5-3,0,2,2,0,0,5,0.0,0,1,0,0,0,17:37,8:48
Sat 11/4,@OTT,W6-4,0,1,1,-1,0,4,0.0,0,1,0,0,0,18:32,18:32
Thu 10/26,vsSJ,W6-0,1,1,2,1,2,1,100.0,1,0,0,0,0,20:06,10:03
Sat 10/21,vsTOR,L4-3 OT,0,1,1,-2,0,0,0.0,0,1,0,0,0,19:07,19:07
Sat 10/14,@DET,L6-4,2,1,3,1,0,6,33.3,0,1,0,0,0,18:11,6:03
Thu 1/18,vsMIN,W7-3,1,0,1,2,0,2,50.0,1,0,0,0,0,19:24,19:24
Thu 11/16,@CHI,W4-2,0,1,1,0,0,0,0.0,0,0,0,0,0,18:03,18:03
